TREE_SCORE
0.0003
TREE_SCORE_NO_REWARD
0.0003
REWARD_CONTRIBUTION
0.0000
ROOT_DEGREE
1

PARENT_NODE	CHILD_NODE
0	1
1	2
1	3
3	4

CLUSTER	NODE_OF_CLUSTER
0	1
1	2
2	3
3	4

MUTATION	NODE_OF_MUTATION
mut0	1
mut1	1
mut2	1
mut3	1
mut4	1
mut5	1
mut6	1
mut7	1
mut8	1
mut9	1
mut10	1
mut11	1
mut12	1
mut13	1
mut14	1
mut15	1
mut16	1
mut17	1
mut18	1
mut19	1
mut20	1
mut21	1
mut22	1
mut23	1
mut24	1
mut25	1
mut26	1
mut27	1
mut28	1
mut29	1
mut30	1
mut31	1
mut32	1
mut33	1
mut34	1
mut35	1
mut36	1
mut37	2
mut38	2
mut39	2
mut40	2
mut41	2
mut42	2
mut43	2
mut44	2
mut45	2
mut46	2
mut47	2
mut48	2
mut49	2
mut50	2
mut51	2
mut52	2
mut53	2
mut54	2
mut55	2
mut56	2
mut57	2
mut58	2
mut59	2
mut60	2
mut61	2
mut62	2
mut63	2
mut64	2
mut65	2
mut66	2
mut67	2
mut68	2
mut69	3
mut70	3
mut71	3
mut72	3
mut73	3
mut74	3
mut75	3
mut76	3
mut77	3
mut78	3
mut79	3
mut80	3
mut81	3
mut82	3
mut83	3
mut84	3
mut85	3
mut86	3
mut87	3
mut88	3
mut89	3
mut90	3
mut91	3
mut92	3
mut93	3
mut94	3
mut95	3
mut96	3
mut97	3
mut98	3
mut99	3
mut100	3
mut101	3
mut102	3
mut103	3
mut104	3
mut105	3
mut106	3
mut107	3
mut108	3
mut109	3
mut110	4
mut111	4
mut112	4
mut113	4
mut114	4
mut115	4
mut116	4
mut117	4
mut118	4
mut119	4
mut120	4
mut121	4
mut122	4
mut123	4
mut124	4
mut125	4
mut126	4
mut127	4
mut128	4
mut129	4
mut130	4

NODE	NODE_FREQS	CLADE_FREQS
0	0.0185,0.0146,0.0183,0.0168,0.0157,0.0178,0.0145,0.0132,0.0125,0.0179,0.0190,0.0203,0.0193,0.0170,0.0183	1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1	0.0568,0.0000,0.0985,0.0000,0.0260,0.0000,0.0190,0.0000,0.0157,0.0000,0.0242,0.0000,0.0237,0.0015,0.1068	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817
2	0.6156,0.1414,0.6656,0.0365,0.6972,0.0185,0.6751,0.0670,0.8893,0.0578,0.6673,0.0770,0.8446,0.0758,0.7508	0.6156,0.1414,0.6656,0.0365,0.6972,0.0185,0.6751,0.0670,0.8893,0.0578,0.6673,0.0770,0.8446,0.0758,0.7508
3	0.2131,0.3947,0.1520,0.2683,0.1628,0.1977,0.1741,0.4197,0.0770,0.3228,0.2015,0.5027,0.0965,0.3876,0.0957	0.3091,0.8440,0.2175,0.9467,0.2611,0.9637,0.2915,0.9198,0.0825,0.9244,0.2894,0.9027,0.1124,0.9058,0.1240
4	0.0960,0.4493,0.0656,0.6784,0.0983,0.7661,0.1174,0.5001,0.0055,0.6016,0.0880,0.4000,0.0159,0.5182,0.0283	0.0960,0.4493,0.0656,0.6784,0.0983,0.7661,0.1174,0.5001,0.0055,0.6016,0.0880,0.4000,0.0159,0.5182,0.0283

MUT_ID	OBSERVED_FREQS	INFERRED_FREQS	ABS_OBSERVED_MINUS_INFERRED
mut0	0.8617,0.9963,1.0000,0.9820,0.9846,0.9821,1.0000,1.0000,0.8848,1.0000,0.9190,1.0000,1.0000,0.9839,0.9414	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817	0.1198,0.0108,0.0183,0.0011,0.0003,0.0001,0.0145,0.0132,0.1027,0.0179,0.0620,0.0203,0.0193,0.0009,0.0403
mut1	1.0000,1.0000,0.9900,1.0000,1.0000,1.0000,0.8993,0.9669,0.9798,1.0000,1.0000,0.9536,0.9859,0.9084,1.0000	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817	0.0185,0.0146,0.0083,0.0168,0.0157,0.0178,0.0862,0.0200,0.0077,0.0179,0.0190,0.0261,0.0051,0.0746,0.0183
mut2	0.9864,1.0000,0.9565,0.9890,0.9891,0.9722,1.0000,0.9874,1.0000,1.0000,1.0000,1.0000,0.9427,0.9752,0.9907	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817	0.0050,0.0146,0.0252,0.0058,0.0048,0.0100,0.0145,0.0006,0.0125,0.0179,0.0190,0.0203,0.0380,0.0078,0.0090
mut3	0.9719,0.9487,0.9422,1.0000,1.0000,1.0000,1.0000,1.0000,0.9405,1.0000,1.0000,0.9913,1.0000,0.9896,1.0000	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817	0.0095,0.0368,0.0395,0.0168,0.0157,0.0178,0.0145,0.0132,0.0470,0.0179,0.0190,0.0116,0.0193,0.0066,0.0183
mut4	0.9932,1.0000,0.9827,0.9865,0.9764,0.9949,0.9861,1.0000,0.9318,0.9071,0.8956,1.0000,1.0000,1.0000,1.0000	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817	0.0117,0.0146,0.0010,0.0033,0.0078,0.0127,0.0006,0.0132,0.0557,0.0750,0.0854,0.0203,0.0193,0.0170,0.0183
mut5	0.9597,1.0000,0.9655,0.9628,0.9802,0.9588,0.9983,1.0000,1.0000,0.9763,0.9958,1.0000,0.9931,0.9843,1.0000	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817	0.0218,0.0146,0.0162,0.0204,0.0041,0.0233,0.0128,0.0132,0.0125,0.0059,0.0148,0.0203,0.0124,0.0013,0.0183
mut6	0.9516,0.9680,1.0000,0.9925,1.0000,0.8915,0.9892,0.9673,1.0000,0.9794,1.0000,0.9221,1.0000,0.9814,0.8779	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817	0.0298,0.0174,0.0183,0.0093,0.0157,0.0907,0.0037,0.0195,0.0125,0.0028,0.0190,0.0576,0.0193,0.0016,0.1039
mut7	1.0000,0.9620,1.0000,1.0000,0.9587,0.9631,0.9497,0.9917,1.0000,0.9545,0.9839,1.0000,1.0000,1.0000,0.9610	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817	0.0185,0.0235,0.0183,0.0168,0.0255,0.0191,0.0358,0.0048,0.0125,0.0276,0.0029,0.0203,0.0193,0.0170,0.0207
mut8	0.9810,1.0000,0.8930,0.9593,0.9633,0.9424,0.9936,1.0000,1.0000,0.9788,0.9688,0.8911,1.0000,1.0000,1.0000	0.9815,0.9854,0.9817,0.9832,0.9843,0.9822,0.9855,0.9868,0.9875,0.9821,0.9810,0.9797,0.9807,0.9830,0.9817	0.0005,0.0146,0.0887,0.0239,0.0210,0.0398,0.0080,0.0132,0.0125,0.0033,0.0123,0.0886,0.0193,0.0170,0.0183
