mutID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	clusterID
mut0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
mut5	0.805279	0.197536	0.676874	0.086057	0.56099	0.117223	0.852261	0.0656914	0.838416	0.172857	0.727659	0.0531317	0.892022	0.140122	0.8631	1
mut6	0.805279	0.197536	0.676874	0.086057	0.56099	0.117223	0.852261	0.0656914	0.838416	0.172857	0.727659	0.0531317	0.892022	0.140122	0.8631	1
mut7	0.805279	0.197536	0.676874	0.086057	0.56099	0.117223	0.852261	0.0656914	0.838416	0.172857	0.727659	0.0531317	0.892022	0.140122	0.8631	1
mut8	0.805279	0.197536	0.676874	0.086057	0.56099	0.117223	0.852261	0.0656914	0.838416	0.172857	0.727659	0.0531317	0.892022	0.140122	0.8631	1
mut9	0.805279	0.197536	0.676874	0.086057	0.56099	0.117223	0.852261	0.0656914	0.838416	0.172857	0.727659	0.0531317	0.892022	0.140122	0.8631	1
mut10	0.115092	0.634787	0.158078	0.814056	0.211369	0.791321	0.0835919	0.827556	0.0545947	0.577174	0.0963393	0.871988	0.057698	0.735422	0.0998769	2
mut11	0.115092	0.634787	0.158078	0.814056	0.211369	0.791321	0.0835919	0.827556	0.0545947	0.577174	0.0963393	0.871988	0.057698	0.735422	0.0998769	2
mut12	0.115092	0.634787	0.158078	0.814056	0.211369	0.791321	0.0835919	0.827556	0.0545947	0.577174	0.0963393	0.871988	0.057698	0.735422	0.0998769	2
mut13	0.115092	0.634787	0.158078	0.814056	0.211369	0.791321	0.0835919	0.827556	0.0545947	0.577174	0.0963393	0.871988	0.057698	0.735422	0.0998769	2
mut14	0.115092	0.634787	0.158078	0.814056	0.211369	0.791321	0.0835919	0.827556	0.0545947	0.577174	0.0963393	0.871988	0.057698	0.735422	0.0998769	2
