clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0.994811	1	1	0.932035	0.950728	0.904381	0.958687	0.943399	0.90108	0.966972
1	0.679407	1	0.945404	0.907619	0.932989	0.0529961	0.0467092	0.928655	0.952185	0.994757
2	0.204298	0.013888	0.00758299	0.0240815	0.0144276	0.17396	0.796043	0.00839484	0.011609	0.0181747
3	0.0200326	0.0452736	0.00779476	0.0238814	0.045798	0.0065648	0.00605885	0.308922	0.0169224	0.0181451
4	0.074717	0.755428	0.0363955	0.90238	0.021686	0.0267309	0.0255576	0.490717	0.412539	0.810998
5	0.0342487	0.0311022	0.729707	0.0249878	0.105651	0.00646579	0.0068898	0.0537102	0.491676	0.0174543
6	0.0633341	0.0428362	0.0239799	0.798137	0.0173083	0.0198027	0.0171064	0.0788286	0.275927	0.884835
7	0.0378953	0.0283706	0.0139013	0.669706	0.00976506	0.014355	0.012468	0.0178466	0.0587416	0.787148
8	0.0222378	0.0117592	0.00855935	0.0284859	0.00510731	0.00797986	0.00641688	0.00909767	0.013671	0.0386426
9	0.602762	0.0129529	0.121421	0.0276544	0.834289	0.00748591	0.00548122	0.00822379	0.0363638	0.0179313
10	0.0208317	0.0138105	0.00909449	0.0207162	0.00539165	0.819553	0.151215	0.00789615	0.0121144	0.016316
