mutID	sample0	sample1	sample2	sample3	sample4	clusterID
mut0	1	1	0.991554	0.931881	0.935393	0
mut1	1	1	0.991554	0.931881	0.935393	0
mut2	1	1	0.991554	0.931881	0.935393	0
mut3	1	1	0.991554	0.931881	0.935393	0
mut4	1	1	0.991554	0.931881	0.935393	0
mut5	0.0270782	0.105713	0.49226	0.17756	0.0178914	1
mut6	0.0270782	0.105713	0.49226	0.17756	0.0178914	1
mut7	0.0270782	0.105713	0.49226	0.17756	0.0178914	1
mut8	0.0270782	0.105713	0.49226	0.17756	0.0178914	1
mut9	0.0270782	0.105713	0.49226	0.17756	0.0178914	1
mut10	0.105465	0.0116593	0.222176	0.0527159	0.00974167	2
mut11	0.105465	0.0116593	0.222176	0.0527159	0.00974167	2
mut12	0.105465	0.0116593	0.222176	0.0527159	0.00974167	2
mut13	0.105465	0.0116593	0.222176	0.0527159	0.00974167	2
mut14	0.105465	0.0116593	0.222176	0.0527159	0.00974167	2
mut15	0.799737	0.865706	0.123726	0.562451	0.848731	3
mut16	0.799737	0.865706	0.123726	0.562451	0.848731	3
mut17	0.799737	0.865706	0.123726	0.562451	0.848731	3
mut18	0.799737	0.865706	0.123726	0.562451	0.848731	3
mut19	0.799737	0.865706	0.123726	0.562451	0.848731	3
mut20	0.616706	0.806804	0.114959	0.438852	0.94946	4
mut21	0.616706	0.806804	0.114959	0.438852	0.94946	4
mut22	0.616706	0.806804	0.114959	0.438852	0.94946	4
mut23	0.616706	0.806804	0.114959	0.438852	0.94946	4
mut24	0.616706	0.806804	0.114959	0.438852	0.94946	4
mut25	0.0447975	0.782433	0.0126781	0.261889	0.0630708	5
mut26	0.0447975	0.782433	0.0126781	0.261889	0.0630708	5
mut27	0.0447975	0.782433	0.0126781	0.261889	0.0630708	5
mut28	0.0447975	0.782433	0.0126781	0.261889	0.0630708	5
mut29	0.0447975	0.782433	0.0126781	0.261889	0.0630708	5
mut30	0.0476703	0.0491338	0.0900436	0.161448	0.853477	6
mut31	0.0476703	0.0491338	0.0900436	0.161448	0.853477	6
mut32	0.0476703	0.0491338	0.0900436	0.161448	0.853477	6
mut33	0.0476703	0.0491338	0.0900436	0.161448	0.853477	6
mut34	0.0476703	0.0491338	0.0900436	0.161448	0.853477	6
mut35	0.059301	0.0349949	0.193445	0.182448	0.0745451	7
mut36	0.059301	0.0349949	0.193445	0.182448	0.0745451	7
mut37	0.059301	0.0349949	0.193445	0.182448	0.0745451	7
mut38	0.059301	0.0349949	0.193445	0.182448	0.0745451	7
mut39	0.059301	0.0349949	0.193445	0.182448	0.0745451	7
mut40	0.0155409	0.260852	0.00675878	0.0624381	0.053437	8
mut41	0.0155409	0.260852	0.00675878	0.0624381	0.053437	8
mut42	0.0155409	0.260852	0.00675878	0.0624381	0.053437	8
mut43	0.0155409	0.260852	0.00675878	0.0624381	0.053437	8
mut44	0.0155409	0.260852	0.00675878	0.0624381	0.053437	8
mut45	0.0333614	0.0242306	0.049328	0.10643	0.810689	9
mut46	0.0333614	0.0242306	0.049328	0.10643	0.810689	9
mut47	0.0333614	0.0242306	0.049328	0.10643	0.810689	9
mut48	0.0333614	0.0242306	0.049328	0.10643	0.810689	9
mut49	0.0333614	0.0242306	0.049328	0.10643	0.810689	9
mut50	0.0463506	0.0221041	0.193975	0.142713	0.0664228	10
mut51	0.0463506	0.0221041	0.193975	0.142713	0.0664228	10
mut52	0.0463506	0.0221041	0.193975	0.142713	0.0664228	10
mut53	0.0463506	0.0221041	0.193975	0.142713	0.0664228	10
mut54	0.0463506	0.0221041	0.193975	0.142713	0.0664228	10
mut55	0.0325369	0.0119472	0.15865	0.0808465	0.0389527	11
mut56	0.0325369	0.0119472	0.15865	0.0808465	0.0389527	11
mut57	0.0325369	0.0119472	0.15865	0.0808465	0.0389527	11
mut58	0.0325369	0.0119472	0.15865	0.0808465	0.0389527	11
mut59	0.0325369	0.0119472	0.15865	0.0808465	0.0389527	11
mut60	0.0134191	0.094576	0.217996	0.124289	0.00819731	12
mut61	0.0134191	0.094576	0.217996	0.124289	0.00819731	12
mut62	0.0134191	0.094576	0.217996	0.124289	0.00819731	12
mut63	0.0134191	0.094576	0.217996	0.124289	0.00819731	12
mut64	0.0134191	0.094576	0.217996	0.124289	0.00819731	12
mut65	0.0152744	0.0114073	0.00832668	0.0582189	0.470034	13
mut66	0.0152744	0.0114073	0.00832668	0.0582189	0.470034	13
mut67	0.0152744	0.0114073	0.00832668	0.0582189	0.470034	13
mut68	0.0152744	0.0114073	0.00832668	0.0582189	0.470034	13
mut69	0.0152744	0.0114073	0.00832668	0.0582189	0.470034	13
