mutID	sample0	sample1	sample2	sample3	sample4	clusterID
mut0	1	1	1	1	1	0
mut1	1	1	1	1	1	0
mut2	1	1	1	1	1	0
mut3	1	1	1	1	1	0
mut4	1	1	1	1	1	0
mut5	0.992802	0.991785	0.991579	0.99339	0.991385	1
mut6	0.992802	0.991785	0.991579	0.99339	0.991385	1
mut7	0.992802	0.991785	0.991579	0.99339	0.991385	1
mut8	0.992802	0.991785	0.991579	0.99339	0.991385	1
mut9	0.992802	0.991785	0.991579	0.99339	0.991385	1
mut10	0.979248	0.982179	0.984009	0.984373	0.982328	2
mut11	0.979248	0.982179	0.984009	0.984373	0.982328	2
mut12	0.979248	0.982179	0.984009	0.984373	0.982328	2
mut13	0.979248	0.982179	0.984009	0.984373	0.982328	2
mut14	0.979248	0.982179	0.984009	0.984373	0.982328	2
