clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	1	1	1
1	0.0387586	0.0517477	0.591532	0.063513	0.0120441
2	0.939846	0.92161	0.398764	0.906396	0.982201
3	0.817533	0.866264	0.149065	0.827592	0.970586
4	0.770409	0.837524	0.0369894	0.792286	0.964833
5	0.280071	0.812371	0.0252801	0.51726	0.959233
6	0.0417608	0.784831	0.0165081	0.091506	0.899627
7	0.102096	0.0266502	0.241098	0.0511079	0.00589835
8	0.0210517	0.12301	0.0081017	0.0329068	0.0625031
9	0.020464	0.0252769	0.570505	0.0336718	0.00570143
