clusterID	sample0	sample1	sample2	sample3	sample4
0	1	1	0.967642	0.972812	0.928317
1	0.176738	0.00859194	0.13978	0.0203886	0.0319518
2	0.632401	0.0891282	0.0319122	0.158886	0.585633
3	0.116432	0.78662	0.639147	0.773545	0.366151
4	0.0318372	0.818904	0.763553	0.517118	0.270561
5	0.00725806	0.683349	0.00510461	0.0249696	0.128433
6	0.0199436	0.0497351	0.654872	0.360779	0.104319
7	0.013239	0.023468	0.589951	0.0420162	0.0731099
8	0.25097	0.0903737	0.0248977	0.12524	0.552178
9	0.00676268	0.00981529	0.169076	0.0193168	0.0329021
10	0.13579	0.0637512	0.132939	0.0654858	0.0345833
11	0.269541	0.0809874	0.0192237	0.118823	0.473985
12	0.215643	0.0178692	0.0108888	0.0672998	0.0939897
13	0.149354	0.00844329	0.00476303	0.0523382	0.0655372
14	0.0653064	0.00786235	0.00517979	0.168792	0.0359848
15	0.00745957	0.0333066	0.00473274	0.0177144	0.373132
