clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	1	1	1	1	1	1	1	1	1	1
1	0.025673	0.00506695	0.00905855	0.0107798	0.650695	0.00986643	0.00661488	0.010322	0.0262528	0.00657782
2	0.759072	0.189669	0.0537295	0.650597	0.282565	0.451416	0.0263818	0.935204	0.839326	0.301846
3	0.182425	0.800102	0.927821	0.326996	0.0408201	0.529725	0.960321	0.0460002	0.119409	0.685861
4	0.131915	0.789292	0.490053	0.30137	0.0263373	0.510495	0.274505	0.0284411	0.0872117	0.674235
5	0.0357522	0.759171	0.137035	0.18507	0.0146415	0.438015	0.0186641	0.0171517	0.0293894	0.62946
6	0.0176323	0.226294	0.0102526	0.0159861	0.00731453	0.0318522	0.00796094	0.00808	0.0152809	0.171981
7	0.0165571	0.0050794	0.36956	0.0140407	0.00730709	0.00951638	0.335486	0.00866591	0.0155576	0.0059742
8	0.220275	0.183916	0.0428972	0.635837	0.137796	0.441789	0.0175212	0.917157	0.41862	0.296103
9	0.0157059	0.171213	0.0157403	0.377414	0.0149063	0.37456	0.00784198	0.229943	0.0157073	0.267969
