clusterID	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	0.0548391	0.0131195	0.00816784	0.0191277	0.513312	0.0103099	0.0176456	0.00699101	0.0978174	0.0054085	0.023181	0.00897718	0.737009	0.00959842	0.0162875
2	0.813339	0.943091	0.968833	0.896002	0.323794	0.953297	0.931603	0.121303	0.834421	0.978563	0.90453	0.630894	0.18735	0.932679	0.93186
3	0.765298	0.928809	0.960752	0.62316	0.268439	0.939532	0.9155	0.090143	0.354998	0.970418	0.881652	0.377315	0.0664943	0.922839	0.916449
4	0.576521	0.911483	0.952306	0.0836981	0.206592	0.636952	0.897849	0.0328862	0.0474579	0.714445	0.846579	0.0512655	0.0213807	0.866487	0.899079
5	0.145019	0.0320428	0.844317	0.0427939	0.105682	0.0282912	0.11032	0.0158199	0.0220203	0.0314633	0.471036	0.0145105	0.0107731	0.040165	0.365994
6	0.0447188	0.608065	0.026737	0.020183	0.0479803	0.0146139	0.464375	0.00706575	0.0111609	0.0213178	0.0259707	0.00673214	0.00487624	0.464437	0.29305
7	0.0885198	0.0308493	0.015225	0.0622664	0.107423	0.0242499	0.0351245	0.862673	0.0239903	0.0103288	0.0478807	0.322039	0.0110053	0.0488637	0.0342269
8	0.0400543	0.0143535	0.152067	0.0221106	0.0478656	0.0102326	0.0174872	0.00762581	0.011594	0.00598119	0.0249917	0.00674358	0.00568164	0.010351	0.0377718
9	0.0434313	0.0168294	0.00679886	0.0344186	0.0571574	0.0119639	0.0182479	0.587196	0.0108426	0.0050654	0.0222651	0.180669	0.00602467	0.04028	0.0159523
